dataset,model_name,k,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,train_weighted_f1_mean,train_weighted_f1_std,train_macro_precision_mean,train_macro_precision_std,train_macro_recall_mean,train_macro_recall_std,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,validation_weighted_f1_mean,validation_weighted_f1_std,validation_macro_precision_mean,validation_macro_precision_std,validation_macro_recall_mean,validation_macro_recall_std,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,final_train_accuracy,final_train_macro_f1,final_train_weighted_f1,final_train_macro_precision,final_train_macro_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,train_test_accuracy_gap,train_test_macro_f1_gap,train_test_weighted_f1_gap
hqrtm_q60,B4_structural_context_socioeconomic,3,0.6431637454526237,0.08136013612705921,0.5486768126499156,0.07273886204230177,0.6758922563638349,0.07077169727388716,0.5285664990040603,0.06781573430992488,0.6649629563909881,0.02692426754618395,0.6471588603194056,0.0668593107083918,0.3991546541172342,0.07481626727020313,0.6455238024344175,0.046945667661112855,0.42553890270911676,0.0828480677468197,0.42682169571007017,0.07547383988362344,0.6471588603194056,0.0668593107083918,0.3991546541172342,0.07481626727020313,0.6455238024344175,0.046945667661112855,0.7383996212121212,0.6252643889286719,0.7586441772745469,0.5956608422432461,0.6904297036874723,0.7085552005679802,0.5727975243391726,0.7296552759059414,0.5518304500580775,0.6166846549089993,0.029844420644141056,0.05246686458949923,0.028988901368605546
hqrtm_q60,B4_structural_context_socioeconomic,4,0.6369300497410526,0.09396439318594345,0.5427566025817432,0.08777022174535068,0.6746085273336369,0.07881313004210642,0.5339569080308715,0.06611786471477557,0.6646038697554378,0.043716316280608764,0.665814902780095,0.07397292755921842,0.43552105785191925,0.10074420749642471,0.6719943534182464,0.06589772339740863,0.4671793699723858,0.10962532482899832,0.46872597437792474,0.06889481515954976,0.665814902780095,0.07397292755921842,0.43552105785191925,0.10074420749642471,0.6719943534182464,0.06589772339740863,0.7547348484848485,0.6453609218247123,0.7715806283621255,0.6156549985795738,0.7013892144238034,0.7223997160099397,0.5839366870689924,0.7400424011900055,0.5633802364263056,0.6207437306753666,0.03233513247490882,0.0614242347557199,0.03153822717211996
hqrtm_q65,B1_structural,2,0.5654226965001196,0.020909691704481786,0.42195559933267957,0.0034503736224008198,0.6063526122465257,0.019596960872739558,0.4031911177214535,0.006493814615938828,0.546466439465989,0.03367044145123722,0.5464942739653901,0.04494111526861407,0.34213639616517055,0.0008386086401988422,0.5842922036741809,0.03955630640214107,0.33613031282593564,0.002872908184614506,0.3947290837561723,0.020346439384777912,0.5464942739653901,0.04494111526861407,0.34213639616517055,0.0008386086401988422,0.5842922036741809,0.03955630640214107,0.5477035984848485,0.3992338804246707,0.591272040742073,0.3844631546350884,0.5150888834129752,0.5236066737664182,0.3539049801603755,0.5698044360602008,0.3480570979375889,0.4395061363837075,0.02409692471843028,0.04532890026429515,0.021467604681872143
hqrtm_q65,B1_structural,3,0.5781378101073237,0.059845741397979615,0.42786548329636953,0.06214904039168245,0.6196405122953778,0.04619457736679761,0.4108779550962381,0.04498946336735356,0.5412488604304426,0.05884713895770369,0.5429949362565679,0.022313029329184556,0.33795953436944287,0.028399904413822123,0.5825297011380952,0.019255425791110465,0.3383511381234934,0.03411533218081229,0.3801720489339695,0.03977864149704153,0.5429949362565679,0.022313029329184556,0.33795953436944287,0.028399904413822123,0.5825297011380952,0.019255425791110465,0.6505681818181818,0.49538579909493513,0.6771951934312922,0.4594219867307175,0.5963747325044501,0.5669151579694711,0.363307076479376,0.6018721402288864,0.3519708321666003,0.4179872608445506,0.08365302384871065,0.13207872261555914,0.07532305320240584
hqrtm_q65,B1_structural,4,0.5386324829309425,0.009402245050826322,0.387463197058723,0.013228068427855816,0.5856007610593047,0.008657440305272143,0.3795067425675611,0.008651409162896778,0.506303092531244,0.02934444834175109,0.5320824137049031,0.04257065124790485,0.33971483789957985,0.04053188893816265,0.574743961825909,0.026484916660190073,0.33714910283754407,0.027158288582981756,0.39595297186209577,0.02608390737428014,0.5320824137049031,0.04257065124790485,0.33971483789957985,0.04053188893816265,0.574743961825909,0.026484916660190073,0.5623816287878788,0.41626291645714136,0.6023292391041004,0.3961601593539882,0.532783463388587,0.531416400425985,0.35227477087822373,0.5761367548641588,0.3471450596584096,0.41944064892785476,0.03096522836189375,0.06398814557891763,0.026192484239941582
hqrtm_q65,B2_structural_socioeconomic,2,0.6854058241343239,0.10341166487618669,0.5452643753293018,0.04771744980419928,0.7120538701093755,0.07736213091632704,0.5352406277401569,0.02889860154959886,0.636418733355606,0.023576723975239716,0.6166068321025777,0.016275248352707654,0.39830650364131265,0.001885821170543643,0.6367078595884139,0.018819161632669494,0.39424874220008177,0.02012109129721175,0.45177863848202754,0.009047084072722655,0.6166068321025777,0.016275248352707654,0.39830650364131265,0.001885821170543643,0.6367078595884139,0.018819161632669494,0.7044270833333334,0.536449163018535,0.7220923711616123,0.5076296564737748,0.5975463822782474,0.6805111821086262,0.4901108834420254,0.6988032743498127,0.47052650552260855,0.5357255237757541,0.023915901224707214,0.046338279576509545,0.02328909681179958
hqrtm_q65,B2_structural_socioeconomic,3,0.6676336992801888,0.10660105835589613,0.5263826898620353,0.07855058171796338,0.6984141233611859,0.07950057902426051,0.5275583611654464,0.030797182968301494,0.6076130051254099,0.026793866947552463,0.6072953165443686,0.0811208893352034,0.4005892636037675,0.06114023851061346,0.6334286888116404,0.04662904589475493,0.43354634549995846,0.081420695486369,0.43551317174436477,0.062357251287142465,0.6072953165443686,0.0811208893352034,0.4005892636037675,0.06114023851061346,0.6334286888116404,0.04662904589475493,0.7799479166666666,0.6048098266822636,0.7762237249664643,0.6006460094350798,0.6104128515052069,0.7458288959886404,0.5102294506641419,0.7418085466439,0.512425349912827,0.5095285303447226,0.03411902067802619,0.09458037601812164,0.034415178322564355
hqrtm_q65,B2_structural_socioeconomic,4,0.6821060292376494,0.10989903879806892,0.5432733331365591,0.08693888440216022,0.7102213394803137,0.08217693801216244,0.5424458061477156,0.05146134467479494,0.6171006290047854,0.028929572605642457,0.6474784107678943,0.04619251598914433,0.4014999490653054,0.05831313640071461,0.6614761629014809,0.0299742480164539,0.4267683841995166,0.08061954294782389,0.4216840866104854,0.057400537339072695,0.6474784107678943,0.04619251598914433,0.4014999490653054,0.05831313640071461,0.6614761629014809,0.0299742480164539,0.8135653409090909,0.6573421690756995,0.805411693280689,0.6727385232063754,0.6463319928938696,0.762158324458644,0.529128517656607,0.7532939067526508,0.5390202024863047,0.521589033012227,0.051407016450446985,0.12821365141909258,0.05211778652803811
hqrtm_q65,B3_structural_context,2,0.5062778770425642,0.04634653494647684,0.3905658012844639,0.06136013063706606,0.561954152247681,0.033049065373781945,0.3943840502580568,0.04220160430232894,0.5541081084759549,0.1177686385456894,0.6519252804841567,0.05078138221806266,0.36654048853472465,0.016482358755174505,0.6538652744600921,0.029593668123213016,0.37272802471028954,0.03201696762827427,0.3799826726076735,0.018243119439986705,0.6519252804841567,0.05078138221806266,0.36654048853472465,0.016482358755174505,0.6538652744600921,0.029593668123213016,0.6522253787878788,0.49977664582205084,0.67790214150668,0.46293708177588677,0.5958323172716047,0.6134185303514377,0.42103031112264716,0.6433276635156387,0.3995372381657365,0.48947315068242336,0.03880684843644111,0.07874633469940368,0.0345744779910413
hqrtm_q65,B3_structural_context,3,0.5176790930366834,0.046948153783143216,0.4069352746544734,0.023315617092206285,0.5678733033688986,0.04870462301856909,0.4105067411423022,0.01374101696128384,0.5775880707168227,0.006693571594265402,0.6380734328700611,0.08992508511188126,0.35848388046638563,0.04642490655813518,0.633407935538251,0.04391564624733481,0.3460996889659225,0.05824348146927466,0.3976160001074316,0.04614366604686403,0.6380734328700611,0.08992508511188126,0.35848388046638563,0.04642490655813518,0.633407935538251,0.04391564624733481,0.6274857954545454,0.47601461794199784,0.6598411428957063,0.44340510359587193,0.5985984226550977,0.5992190273340433,0.4238983562930577,0.6352713728708843,0.4025732064288332,0.5298400873417328,0.028266768120502106,0.05211626164894012,0.02456977002482197
